IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
104.19.155.108,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.164.225,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.16.246.62,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.137.125,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.193.0,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.178.23,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.168.12,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.19.153.34,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.157.215,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.149.133,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.177.46,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.207.14,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.18.145.73,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.16.245.115,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.190.16,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.17.172.89,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.16.10.71,8443,443,false,HKG,Asia Pacific,Hong Kong,42,12.88
104.21.231.160,8443,443,false,SEA,North America,Seattle,42,12.88
104.16.46.20,8443,443,false,SEA,North America,Seattle,42,12.88
104.21.229.132,8443,443,false,SEA,North America,Seattle,42,12.88
104.22.54.218,8443,443,false,SEA,North America,Seattle,42,12.88
104.17.232.112,8443,443,false,SEA,North America,Seattle,42,12.88
104.21.29.179,8443,443,false,SEA,North America,Seattle,42,12.88
104.17.249.33,8443,443,false,SEA,North America,Seattle,42,12.88
104.17.254.142,8443,443,false,SEA,North America,Seattle,42,12.88
104.16.61.160,8443,443,false,SEA,North America,Seattle,42,12.88
104.21.19.220,8443,443,false,SEA,North America,Seattle,42,12.88
104.22.58.26,8443,443,false,SEA,North America,Seattle,42,12.88
172.67.65.63,8443,443,false,SEA,North America,Seattle,42,12.88
104.16.0.164,8443,443,false,SEA,North America,Seattle,42,12.88
104.20.131.100,8443,443,false,SJC,North America,San Jose,42,12.88
104.25.115.232,8443,443,false,SJC,North America,San Jose,42,12.88
104.18.98.108,8443,443,false,SJC,North America,San Jose,42,12.88
104.21.57.181,8443,443,false,SJC,North America,San Jose,42,12.88
104.25.20.166,8443,443,false,SJC,North America,San Jose,42,12.88


